,ocp_jl,ocp_wr,ocp_hd  ,class_mild,need,placement
6857,467,160,449,0,0,jail
6858,467,160,449,0,0,jail
6859,467,160,449,0,0,jail
6860,467,160,449,0,0,jail
6861,467,160,449,1,1,jail
6862,467,160,449,1,1,jail
6863,467,160,449,1,1,jail
6864,467,160,449,1,1,jail
6865,467,160,449,1,1,home detention
6866,467,160,449,1,1,home detention
6867,467,160,449,1,0,jail
6868,467,160,449,1,0,home detention
6869,467,160,449,1,0,home detention
6870,467,160,449,1,0,home detention
6871,471,159,450,0,1,jail
6872,471,159,450,0,1,jail
6873,471,159,450,0,0,jail
6874,471,159,450,1,1,jail
6875,471,159,450,1,1,jail
6876,471,159,450,1,1,jail
6877,471,159,450,1,1,home detention
6878,471,159,450,1,1,home detention
6879,471,159,450,1,1,home detention
6880,471,159,450,1,1,home detention
6881,471,159,450,1,1,home detention
6882,471,159,450,1,0,jail
6883,471,159,450,1,0,jail
6884,471,159,450,1,0,home detention
6885,470,160,454,0,1,jail
6886,470,160,454,0,1,jail
6887,470,160,454,0,1,jail
6888,470,160,454,0,1,jail
6889,470,160,454,0,1,home detention
6890,470,160,454,0,0,jail
6891,470,160,454,0,0,jail
6892,470,160,454,0,0,jail
6893,470,160,454,0,0,jail
6894,470,160,454,0,0,jail
6895,470,160,454,1,1,jail
6896,470,160,454,1,1,home detention
6897,470,160,454,1,1,home detention
6898,470,160,454,1,1,home detention
6899,470,160,454,1,0,jail
6900,477,154,453,0,1,jail
6901,477,154,453,0,1,home detention
6902,477,154,453,0,1,home detention
6903,477,154,453,0,0,jail
6904,477,154,453,1,1,home detention
6905,477,154,453,1,1,home detention
6906,477,154,453,1,1,home detention
6907,477,154,453,1,1,home detention
6908,477,154,453,1,1,home detention
6909,477,154,453,1,1,home detention
6910,477,154,453,1,1,home detention
6911,477,154,453,1,1,home detention
6912,477,154,453,1,1,home detention
6913,477,154,453,1,0,jail
6914,477,154,453,1,0,jail
6915,477,154,453,1,0,jail
6916,477,154,453,1,0,jail
6917,477,154,453,1,0,jail
6918,477,154,453,1,0,home detention
6919,477,154,453,1,0,home detention
6920,484,146,464,0,0,work release
6921,484,146,464,0,0,work release
6922,484,146,464,1,1,work release
6923,484,146,464,1,1,work release
6924,484,146,464,1,0,work release
6925,484,146,464,1,0,work release
6926,484,146,464,1,0,work release
6927,484,146,464,1,0,work release
6928,484,146,464,1,0,work release
6929,484,146,464,1,0,work release
6930,484,146,464,1,0,work release
6931,480,153,455,0,1,jail
6932,480,153,455,0,1,jail
6933,480,153,455,0,1,home detention
6934,480,153,455,0,0,jail
6935,480,153,455,0,0,jail
6936,480,153,455,0,0,jail
6937,480,153,455,0,0,jail
6938,480,153,455,1,1,jail
6939,480,153,455,1,1,home detention
6940,480,153,455,1,0,jail
6941,480,153,455,1,0,jail
6942,480,153,455,1,0,jail
6943,480,153,455,1,0,jail
6944,480,153,455,1,0,jail
6945,480,153,455,1,0,home detention
6946,480,153,455,1,0,home detention
6947,486,152,459,0,1,jail
6948,486,152,459,0,1,jail
6949,486,152,459,0,1,jail
6950,486,152,459,0,1,home detention
6951,486,152,459,0,0,jail
6952,486,152,459,0,0,jail
6953,486,152,459,0,0,jail
6954,486,152,459,0,0,jail
6955,486,152,459,0,0,jail
6956,486,152,459,1,1,jail
6957,486,152,459,1,1,jail
6958,486,152,459,1,1,jail
6959,486,152,459,1,1,home detention
6960,486,152,459,1,1,home detention
6961,486,152,459,1,0,jail
6962,486,152,459,1,0,jail
6963,495,149,456,0,0,jail
6964,495,149,456,0,0,jail
6965,495,149,456,0,0,jail
6966,495,149,456,1,1,jail
6967,495,149,456,1,1,home detention
6968,495,149,456,1,1,home detention
6969,495,149,456,1,1,home detention
6970,495,149,456,1,1,home detention
6971,495,149,456,1,1,home detention
6972,495,149,456,1,1,home detention
6973,495,149,456,1,1,home detention
6974,495,149,456,1,1,home detention
6975,495,149,456,1,1,home detention
6976,495,149,456,1,1,home detention
6977,495,149,456,1,0,jail
6978,495,149,456,1,0,jail
6979,495,149,456,1,0,jail
6980,495,149,456,1,0,home detention
6981,495,149,456,1,0,home detention
6982,495,149,456,1,0,home detention
6983,495,149,456,1,0,home detention
6984,494,137,471,1,1,work release
6985,494,137,471,1,1,work release
6986,494,137,471,1,1,work release
6987,494,137,471,1,1,work release
6988,494,137,471,1,1,work release
6989,494,137,471,1,1,work release
6990,494,137,471,1,1,work release
6991,494,137,471,1,0,work release
6992,494,137,471,1,0,work release
6993,494,137,471,1,0,work release
